;ZERGATIK EZ DITUZU#KAMIOI HORIEK GARBITZEN?;WHY DON'T YOU WASH#THOSE TRUCKS INSTEAD?;C'EST LES CAMIONS QUE#TU DEVRAIS LAVER !;WASCH DOCH STATTDESSEN#DIE LASTWAGEN.;¿POR QUÉ NO LAVAS ESOS#VEHÍCULOS, MEJOR?;PERCHÉ NON DAI UNA LAVATA#A QUEI FURGONI, PIUTTOSTO?;POR QUE NÃO VAI LAVAR#OS CAMINHÕES?;ПОЧЕМУ БЫ ТЕБЕ НЕ ВЫМЫТЬ#ЭТИ ГРУЗОВИКИ?;わたし じゃなくて#そこの トラックを あらってくれよ;나한테 뿌리지 말고#대신 저 트럭을 세차하지 그래?;为什么你不#清洗下那些卡车呢?;為什麼你不#清洗下那些卡車呢?;
;EZ DUT ULERTZEN!;I DON'T UNDERSTAND!;NE LE PRENDS PAS COMME ÇA !;DAS VERSTEHE ICH NICHT!;¡NO ENTIENDO NADA!;IO NON CAPISCO!;NÃO TÔ ENTENDENDO!;Я НЕ ПОНИМАЮ!;しんじられない!;영문을 모르겠네!;我不理解!;我不理解!;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;@ ALDATU ERABILTZAILEA;@ CHANGE USER;@ CHANGER DE PROFIL;@ BENUTZER WECHSELN;@ CAMBIAR DE USUARIO;@ CAMBIA UTENTE;@ MUDAR USUÁRIO;@ СМЕНИТЬ ПОЛЬЗОВАТЕЛЯ;@：ユーザーきりかえ;@ 사용자 변경; @ 更换用户; @ 更換用戶;
;EZ DUZU SAIOA HASI;NOT SIGNED IN;NON CONNECTÉ;NICHT ANGEMELDET;NO HAS INICIADO SESIÓN;ACCESSO NON EFFETTUATO;NÃO CONECTADO;ВХОД НЕ ПРОИЗВЕДЕН;サインイン していません;로그인하지 않음;未登陆;未登陸;
;EZ DA AURRERAPENA GORDEKO;PROGRESS WILL NOT BE SAVED;LA PROGRESSION NE SERA PAS SAUVEGARDÉE;SPIELSTAND WIRD NICHT GESPEICHERT;NO SE GUARDARÁ TU PROGRESO;I PROGRESSI NON VERRANNO SALVATI;O PROGRESSO NÃO SERÁ SALVO;ПРОГРЕСС НЕ БУДЕТ СОХРАНЕН;ゲームのしんこうは ほぞんされません;플레이가 저장되지 않을 것입니다;无法保存;無法保存;
;SAKATU @ HASTEKO;PRESS @ TO START;APPUIE SUR @ POUR COMMENCER;@ ZUM STARTEN;PULSA @ PARA COMENZAR;PREMI @ PER INIZIARE;@ PARA INICIAR;НАЖМИ @, ЧТОБЫ НАЧАТЬ;@：ゲームをはじめる;@키를 눌러 시작;按 @开始;按 @開始;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;ABENTURAZALEA;ADVENTURER;AVENTURIER;ABENTEURER;AVENTURERO;ALL'AVVENTURA;AVENTUREIRO;АВАНТЮРИСТ;ぼうけんか;모험가;冒险家;冒險家;
;AURKITU ZURE LEHEN OBJEKTUA;FIND YOUR FIRST ITEM;TROUVER UN PREMIER OBJET;FINDE DEINEN ERSTEN GEGENSTAND;ENCUENTRA TU PRIMER OBJETO;TROVA IL TUO PRIMO OGGETTO;ACHE SEU 1º ITEM;НАЙДИ СВОЙ ПЕРВЫЙ ПРЕДМЕТ;さいしょのアイテムをみつけた;첫 번째 아이템을 찾아낸다;找到第一个物品;找到第一個物品;
;BILDUMAGILEA;COLLECTOR;COLLECTIONNEUR;SAMMLER;COLECCIONISTA;COLLEZIONISTA;COLECIONADOR;КОЛЛЕКЦИОНЕР;コレクター;수집가;收藏家;收藏家;
;AURKITU OBJEKTU GUZTIAK;FIND ALL ITEMS;TROUVER TOUS LES OBJETS;FINDE ALLE GEGENSTÄNDE;ENCUENTRA TODOS LOS OBJETOS;TROVA TUTTI GLI OGGETTI;ACHE TODOS OS ITENS;НАЙДИ ВСЕ ПРЕДМЕТЫ;すべてのアイテムをみつけた;모든 아이템을 찾아낸다;找到所有物品;找到所有物品;
;ALTXOR EHIZTARIA;TREASURE HUNTER;CHERCHEUR D'OR;SCHATZJÄGER;CAZATESOROS;A CACCIA DI TESORI;CAÇA-TESOUROS;ОХОТНИК ЗА СОКРОВИЩАМИ;トレジャーハンター;보물 사냥꾼;寻宝高手;尋寶高手;
;AURKITU ZURE LEHEN TXANPONA;FIND YOUR FIRST COIN;TROUVER UNE PREMIÈRE PIÈCE;FINDE DEINE ERSTE MÜNZE;ENCUENTRA TU PRIMERA MONEDA;TROVA LA TUA PRIMA MONETA;ACHE SUA 1ª MOEDA;НАЙДИ СВОЮ ПЕРВУЮ МОНЕТУ;さいしょのコインをみつけた;첫 번째 코인을 찾아낸다;找到第一枚硬币;找到第一枚硬幣;
;ALTXOR PILATZAILEA;TREASURE HOARDER;PROSPECTEUR D'OR;SCHATZSAMMLER;ACUMULADOR DE TESOROS;ACCUMULA-TESORI;ACUMULADOR;СКОПИДОМ;たからの もちぐされ;보물 중개인;宝藏储存高手;寶藏儲存高手;
;AURKITU TXANPON GUZTIAK;FIND ALL COINS;TROUVER TOUTES LES PIÈCES;FINDE ALLE MÜNZEN;ENCUENTRA TODAS LAS MONEDAS;TROVA TUTTE LE MONETE;ACHE TODAS AS MOEDAS;НАЙДИ ВСЕ МОНЕТЫ;すべてのコインをみつけた;모든 코인을 찾아낸다;找到所有硬币;找到所有硬幣;
;SOROSLE URGAZLEA;FIRST AIDER;SECOURISTE;SANI;AMATEUR DEL RESCATE;PRIMO SOCCORSO;PRIMEIRO AMOR;ПЕРВАЯ ПОМОЩЬ;おうきゅうしょち カンペキ;응급 처치사;急救人员;急救人員;
;AURKITU ZURE LEHEN BIHOTZA;FIND YOUR FIRST HEART;TROUVER UN PREMIER COEUR;FINDE DEIN ERSTES HERZ;ENCUENTRA TU PRIMER CORAZÓN;TROVA IL TUO PRIMO CUORE;ACHE SEU 1º CORAÇÃO;НАЙДИ СВОЕ ПЕРВОЕ СЕРДЦЕ;さいしょのハートをみつけた;첫 번째 하트를 찾아낸다;找到第一颗心;找到第一顆心;
;SOROSLE OSOA;FULL AIDER;DON JUAN;DOC;AS DEL RESCATE;IN PRIMA LINEA;CONQUISTADOR;ПОЛНАЯ ПОМОЩЬ;もはや きゅうきゅう たいいん;전문 치료인;全方位救援人员;全方位救援人員;
;AURKITU BIHOTZ GUZTIAK;FIND ALL HEARTS;TROUVER TOUS LES COEURS;FINDE ALLE HERZEN;ENCUENTRA TODOS LOS CORAZONES;TROVA TUTTI I CUORI;ACHE TODOS OS CORAÇÕES;НАЙДИ ВСЕ СЕРДЦА;すべてのハートをみつけた;모든 하트를 찾아낸다;找到所有的心;找到所有的心;
;ITSAS-ZALE SUTSUA;MARINE ENTHUSIAST;SCOUT MARIN;MEERESLIEBHABER;FAN DEL MAR;PASSIONE PER IL MARE;ENTUSIASTA DO MAR;МОРСКОЙ АКТИВИСТ;タコあしに くびったけ;바다 열성가;热爱海洋的人;熱愛海洋的人;
;AURKITU ZURE LEHEN GARROA;FIND YOUR FIRST TENTACLE;TROUVER UN PREMIER TENTACULE;FINDE DEIN ERSTES TENTAKEL;ENCUENTRA TU PRIMER TENTÁCULO;TROVA IL TUO PRIMO TENTACOLO;ACHE SEU 1º TENTÁCULO;НАЙДИ СВОЕ ПЕРВОЕ ЩУПАЛЬЦЕ;さいしょのタコのあしをみつけた;첫 번째 문어 다리를 찾아낸다;找到第一个触手;找到第一個觸手;
;ITSAS BIOLOGOA;MARINE BIOLOGIST;BIOLOGISTE MARIN;MEERESBIOLOGE;BIÓLOGO MARINO;BIOLOGIA MARINA;BIÓLOGO MARINHO;МОРСКОЙ БИОЛОГ;かいよう せいぶつがくしゃ;바다 생물학자;海洋生物学家;海洋生物學家;
;GARRO GUZTIAK AURKITU;FIND ALL TENTACLES;TROUVER TOUS LES TENTACULES;FINDE ALLE TENTAKEL;ENCUENTRA TODOS LOS TENTÁCULOS;TROVA TUTTI I TENTACOLI;ACHE OS 8 TENTÁCULOS;НАЙДИ ВСЕ ЩУПАЛЬЦА;すべてのタコのあしをみつけた;모든 문어 다리를 찾아낸다;找到全部触须;找到全部觸鬚;
;LAGUNIK ONENA;BEST FRIEND;AMI DES BÊTES;BESTER FREUND;MEJOR AMIGO;AMICI PER LA PELLE;MELHOR AMIGO;ЛУЧШИЙ ДРУГ;ベストフレンド;최고의 친구;最好的朋友;最好的朋友;
;EKARRI OPARIA ZAKURRARI;BRING A GIFT TO THE DOG;APPORTER UN CADEAU AU CHIEN;BRING DEM HUND EIN GESCHENK;LLÉVALE UN REGALO AL PERRO;PORTA UN DONO AL CANE;DÊ UM PRESENTE AO CÃO;ПРИНЕСИ ЛАКОМСТВО СОБАКЕ;イヌにおくりものをした;개에게 선물을 건넨다;为狗带回礼物;為狗帶回禮物;
;ZAKUR-GARBITZAILEA;DOG WASHER;TOILETTEUR;HUNDEWÄSCHER;LAVAPERROS;TOELETTATURA PER CANI;BANHO E TOSA;МОЙЩИК СОБАК;ドッグトリマー;개를 깨끗하게;狗的美容师;狗的美容師;
;UREZTATU ZAKURRA;WATER THE DOG;ARROSER LE CHIEN;WÄSSERE DEN HUND;RIEGA AL PERRO;LAVA IL CANE;MOLHE O CÃO;ПОЛЕЙ СОБАКУ;イヌにみずをあげた;개에게 물을 뿌린다;为狗沐浴;為狗沐浴;
;ENTZULEA;LISTENER;GÉRONTOLOGUE;ZUHÖRER;ESCUCHADOR NATO;SAPER ASCOLTARE;OUVINTE;СЛУШАТЕЛЬ;おはなしじょうずは ききじょうず;청취자;倾听者;傾聽者;
;ADINDUARI ENTZUTEA;LISTEN TO THE OLD PERSON;ÉCOUTER LA PERSONNE ÂGÉE;HÖR HALT ZU, AUCH WENN ES LANG DAUERT;ESCUCHA A LA PERSONA ANCIANA;ASCOLTA LA PERSONA ANZIANA;ESCUTE O VELHO;ПОСЛУШАЙ ПОЖИЛОГО ЧЕЛОВЕКА;おとしよりのはなしをきいた;노인의 말을 듣는다;倾听老者讲话;傾聽老者講話;
;ARKEOLOGOA;ARCHAEOLOGIST;ARCHÉOLOGUE;ARCHÄOLOGE;ARQUEÓLOGO;ARCHEOLOGIA;ARQUEÓLOGO;АРХЕОЛОГ;こうこがくしゃ;고고학자;考古学家;考古學家;
;TENPLU SEKRETUKO PUZZLE GUZTIAK ARGITU;SOLVE ALL THE PUZZLES IN THE SECRET TEMPLE;RÉSOUDRE TOUTES LES ÉNIGMES DANS LE TEMPLE SECRET;LÖSE ALLE RÄTSEL IM GEHEIMEN TEMPEL;RESUELVE LAS PRUEBAS DEL TEMPLO SECRETO;RISOLVI I ROMPICAPI DEL TEMPIO SEGRETO;RESOLVA TODOS OS ENIGMAS DO TEMPLO SECRETO;РАЗГАДАЙ ВСЕ ЗАГАДКИ В ТАИНСТВЕННОМ ХРАМЕ;ひみつの おてらの すべての なぞを といた;비밀의 사원에서 모든 퍼즐을 푼다;解决秘密寺庙中的所有谜题;解決秘密寺廟中的所有謎題;
;ESPLORATZAILEA;EXPLORER;EXPLORATEUR;FORSCHER;EXPLORADOR;IN ESPLORAZIONE;EXPLORADOR;ИССЛЕДОВАТЕЛЬ;たんけんか;탐험가;探险者;探險者;
;OASIS MAMUA AURKITU ETA GARAITU;FIND AND DEFEAT THE OASIS GHOST;TROUVER ET VAINCRE LE FANTÔME DE L'OASIS;FINDE UND BESIEGE DEN OASENGEIST;BUSCA Y DERROTA AL FANTASMA DEL OASIS;SCOVA E SCONFIGGI LO SPIRITO DELL'OASI;ACHE E DERROTE O FANTASMA DO OÁSIS;НАЙДИ И ПОБЕДИ ПРИЗРАКА ОАЗИСА;オアシスにいる ゆうれいを たおした;오아시스 유령을 찾아내 물리친다;找到并击败绿洲幽灵;找到並擊敗綠洲幽靈;
;HILEKO LANGILEA;EMPLOYEE OF THE MONTH;EMPLOYÉ DU MOIS;ANGESTELLTER DES MONATS;EMPLEADO DEL MES;DIPENDENTE DEL MESE;FUNCIONÁRIO DO MÊS;СОТРУДНИК МЕСЯЦА;げっかん MVP;이달의 사원;本月最佳员工;本月最佳員工;
;AURKITU HOTELEKO GONBIDATU GUZTIAK;FIND ALL HOTEL GUESTS;TROUVER TOUS LES CLIENTS DE L'HÔTEL;FINDE ALLE HOTELGÄSTE;DA CON TODOS LOS HUÉSPEDES;TROVA TUTTI I CLIENTI DELL'HOTEL;ACHE TODOS OS HÓSPEDES;НАЙДИ ВСЕХ ГОСТЕЙ ОТЕЛЯ;ホテルの ゲストを すべて みつけた;호텔 투숙인을 모두 찾아낸다;找到旅馆所有幽灵;找到旅館所有幽靈;
;MAMU HARRAPARIA;GHOST HUNTER;CHASSEUR DE FANTÔME;GEISTERJÄGER;CAZAFANTASMAS;ACCHIAPPAFANTASMI;CAÇA-FANTASMAS;ОХОТНИК ЗА ПРИВИДЕНИЯМИ;ゴーストハンター;유령 사냥꾼;幽灵猎人;幽靈獵人;
;HITZ EGIN MARYREKIN;TALK TO MARY;PARLER À MARY;SPRICH MIT MARY;HABLA CON MARY;PARLA CON MARY;FALE COM A MARY;ПОГОВОРИ С МЭРИ;マリーと はなした;메리와 대화한다;与玛丽谈话;與瑪麗談話;
;SEGURTASUN IKUSKATZAILEA;SAFETY INSPECTOR;EXPERT EN SÉCURITÉ;SICHERHEITSINSPEKTOR;INSPECTOR DE SEGURIDAD;ISPEZIONE DI SICUREZZA;INSPETOR DE SEGURANÇA;ИНСПЕКТОР ПО ОХРАНЕ ТРУДА;あんぜん けんさかん;안전 검사관;安全检查员;安全檢查員;
;ITXI EZPATA FABRIKA;SHUT DOWN THE SWORD FACTORY;FERMER L'USINE À ÉPÉES;SCHLIESSE DIE SCHWERTERFABRIK;CLAUSURA LA FÁBRICA DE ESPADAS;FAI CHIUDERE LA FABBRICA DI SPADE;DESATIVE A FÁBRICA DE ESPADAS;ОСТАНОВИ РАБОТУ МЕЧНОГО ЗАВОДА;つるぎの こうじょうを へいさした;검 공장을 막아낸다;关闭剑厂;關閉劍廠;
;TURISTA;TOURIST;TOURISTE;TOURIST;TURISTA;TURISTA;TURISTA;ТУРИСТ;ツーリスト;관광객;游客;觀光客;
;BISITATU UHARTEA;VISIT THE ISLAND;VISITER L'ÎLE;BESUCHE DIE INSEL;VISITA LA ISLA;VISITA L'ISOLA;VISITE A ILHA;ПОСЕТИ ОСТРОВ;はなれじまを おとずれた;섬을 방문한다;拜访岛屿;拜訪島嶼;
;ETXE JABEA;HOME OWNER;PROPRIÉTAIRE;HAUSBESITZER;PROPIETARIO;CASA DI PROPRIETÀ;PROPRIETÁRIO;ДОМОВЛАДЕЛЕЦ;ホームオーナー;집주인;业主;房主;
;IREKI ETXE BERRI BAT;UNLOCK A NEW HOME;DÉVERROUILLER UNE NOUVELLE MAISON;SCHLIESSE EIN NEUES ZUHAUSE AUF;DESBLOQUEA UNA NUEVA CASA;SBLOCCA UNA NUOVA CASA;DESBLOQUEIE UM NOVO LAR;ОТКРОЙ НОВЫЙ ДОМ;あたらしい いえを かいほうした;새로운 집을 해금한다;解锁新家;解鎖新家;
;BIDAIARIA;TRAVELER;VOYAGEUR;REISENDER;VIAJERO;IN VIAGGIO;VIAJANTE;ПУТЕШЕСТВЕННИК;トラベラー;여행자;旅行者;旅行者;
;ERABILI TELEIGOGAILU BAT;USE A TELEVATOR;UTILISER UN TÉLÉTRANSPORTEUR;BENUTZE EINEN TELELIFT;USA UN TELEASCENSOR;USA UN TELEASCENSORE;USE UM TELEVADOR;ИСПОЛЬЗУЙ ТЕЛЕЛИФТ;テレベーターを りようした;텔레베이터를 사용한다;使用电梯;使用電梯;
;MUNDUKO BIDAIARIA;WORLD TRAVELER;GLOBE-TROTTER;WELTREISENDER;TROTAMUNDOS;IN VIAGGIO PER IL MONDO;COSMOPOLITA;КРУГОСВЕТНЫЙ ПУТЕШЕСТВЕННИК;ワールド　トラベラー;세계 여행자;环球旅行者;世界旅行者;
;ERABILI TELEIGOGAILU GUZTIAK;USE ALL TELEVATORS;UTILISER TOUS LES TÉLÉTRANSPORTEURS;BENUTZE ALLE TELELIFTE;USA TODOS LOS TELEASCENSORES;USA TUTTI I TELEASCENSORI;USE TODOS OS TELEVADORES;ИСПОЛЬЗУЙ ВСЕ ТЕЛЕЛИФТЫ;すべての テレベータ―を りようした;모든 텔레베이터를 사용한다;使用所有电梯;使用所有電梯;
;PUNTUALA;PUNCTUAL;PONCTUEL;PÜNKTLICH;PUNTUAL;PUNTUALE;PONTUAL;ТОЧНО В СРОК;じかん ピッタリ;초고속 탐험가;准时;準時;
;AURKITU OBJEKTUA, TXANPONA EDO BIHOTZA SEGUNDO BAT BAINO GUTXIAGOREN FALTAN;FIND AN ITEM, COIN, OR HEART WITH LESS THAN 1 SECOND LEFT;TROUVER UN OBJET, UNE PIÈCE OU UN COEUR, AVEC MOINS D'UNE SECONDE RESTANTE;FINDE EINEN GEGENSTAND, EINE MÜNZE ODER EIN HERZ MIT WENIGER ALS 1 SEKUNDE ÜBRIGER ZEIT;ENCUENTRA UN OBJETO, MONEDA O CORAZÓN QUEDANDO MENOS DE 1 SEGUNDO;TROVA 1 OGGETTO, 1 MONETA O 1 CUORE A MENO DI 1 SEC. DALLA FINE;ACHE UM ITEM, MOEDA OU CORAÇÃO FALTANDO MENOS DE 1 SEGUNDO;НАЙДИ ПРЕДМЕТ, МОНЕТУ ИЛИ СЕРДЦЕ ЗА 1 СЕКУНДУ ДО КОНЦА;のこり 1びょう みまんで アイテム・コイン・ハートを みつけた;아이템, 코인, 혹은 하트를 1초 안에 찾아낸다;在剩余不足1秒的情况下找到物品,硬币或心;在剩餘不足1秒的情況下找到物品,硬幣或心;
;MINIT;MINIT;MINIT;MINIT;MINIT;MINIT;MINIT;МИНИТ;ミニット;미니트;MINIT;MINIT;
;OSATU JOKOA;COMPLETE THE GAME;TERMINER LE JEU;SCHLIESSE DAS SPIEL AB;COMPLETA EL JUEGO;COMPLETA LA PARTITA;TERMINE O JOGO;ПРОЙДИ ИГРУ;ゲームを クリアした;게임을 끝낸다;完成游戏;完成遊戲;
;BESTE MINIT BAT;ANOTHER MINIT;SECONDE MINIT;ZWEIMAL MINIT;OTRO MINIT;UN ALTRO MINIT;OUTRO MINIT;ЕЩЕ ОДИН МИНИТ;もうひとつの ミニット;또 다른 미니트;另一个MINIT;另一個MINIT;
;OSATU BIGARREN SAIAKERA;COMPLETE SECOND RUN;TERMINER LA SECONDE ODYSSÉE;SCHLIESSE DEN SCHNELLEN MODUS AB;COMPLETA SEGUNDO INTENTO;COMPLETA SECONDO GIRO;TERMINE A SEGUNDA VEZ;ПРОЙДИ ВТОРОЙ ЗАБЕГ;ハードモードを クリアした;하드 모드를 끝낸다;完成难度升级游戏;完成難度升級遊戲;
;KAIXO, MARY NAIZ;HI MY NAME IS MARY;BONJOUR, MON NOM EST MARY;HI, ICH HEISSE MARY;HOLA, ME LLAMO MARY;CIAO, IO SONO MARY;OI, MEU NOME É MARY;ПРИВЕТ, Я МЭРИ;わらわは マリーである;안녕, 내 이름은 메리야;嗨,我的名字是玛丽;嗨,我的名字是瑪麗;
;AMAITU EZAZU JOKOA OBJEKTU, TXANPON ETA BIHOTZEN %100AREKIN;COMPLETE THE GAME WITH 100% OF THE ITEMS, COINS, AND HEARTS;TERMINER LE JEU AVEC 100 % DES OBJETS, PIÈCES ET COEURS;SCHLIESSE DAS SPIEL MIT ALLEN GEGENSTÄNDEN, MÜNZEN UND HERZEN AB;COMPLETA EL JUEGO CON EL 100 % DE OBJETOS, MONEDAS Y CORAZONES;COMPLETA LA PARTITA CON IL 100% DI OGGETTI, MONETE E CUORI;TERMINE O JOGO COM 100% DOS ITENS, MOEDAS E CORAÇÕES;СОБЕРИ 100% ПРЕДМЕТОВ, МОНЕТ И СЕРДЕЦ ЗА ИГРУ;すべてのアイテム・コイン・ハートをみつけた じょうたいで ゲームを クリアした;아이템, 코인, 하트를 100% 찾아내고 게임을 끝낸다;获得100%的物品,硬币以及心;獲得100%的物品,硬幣以及心;
;ERDI BAKEZALEA;PACIFIST, SORT OF;PACIFISTE, OU PRESQUE;SO EINE ART PAZIFIST;PSEUDOPACIFISTA;UNA SPECIE DI PACIFISTA;PACIFISTA (MAIS OU MENOS);ТИПА ПАЦИФИСТ;どちらかといえば へいわしゅぎしゃ;아마도 평화주의자;可能的和平主义者;可能的和平主義者;
;OSATU JOKOA SUGERIK HIL GABE;COMPLETE THE GAME WITHOUT KILLING ANY SNAKES;TERMINER LE JEU SANS TUER LE MOINDRE SERPENT;SCHLIESSE DAS SPIEL AB, OHNE SCHLANGEN ZU TÖTEN;COMPLETA EL JUEGO SIN MATAR SERPIENTES;COMPLETA LA PARTITA SENZA UCCIDERE SERPENTI;TERMINE O JOGO SEM MATAR NENHUMA COBRA;НЕ УБЕЙ НИ ОДНОЙ ЗМЕИ ЗА ИГРУ;ヘビを いっぴきも ころさずに ゲームを クリアした;뱀을 죽이지 않고 게임을 끝낸다;未杀死任何的蛇便完成游戏;未殺死任何的蛇並完成遊戲;
;MINIMALISTA;MINIMALIST;MINIMALISTE;MINIMALIST;MINIMALISTA;MINIMALISTA;MINIMALISTA;МИНИМАЛИСТ;ミニマリスト;미니멀리스트;极简主义;極簡主義;
;AMAITU PARTIDA 25 SAIAKERA EDO GUTXIAGOTAN;COMPLETE THE GAME IN 25 RUNS OR LESS;TERMINER LE JEU EN MOINS DE 25 VIES;SCHLIESSE DAS SPIEL IN MAXIMAL 25 RUNDEN AB;COMPLETA EL JUEGO EN 25 INTENTOS O MENOS;COMPLETA LA PARTITA IN 25 GIRI O MENO;TERMINE O JOGO EM 25 JOGADAS OU MENOS;ПРОЙДИ ИГРУ ЗА 25 ИЛИ МЕНЬШЕ ЗАБЕГОВ;25かい いないで ゲームを クリアした;25 도전 이내에 게임을 끝낸다;25个回合内完成游戏;25個回合內完成遊戲;
;ADITUA;CONNOISSEUR;CONNAISSEUR;KENNER;ENTENDIDO;A BUON INTENDITOR...;CONNOISSEUR;ЦЕНИТЕЛЬ;おんがく せんもんか;감정가;行家;行家;
;BENETAKO MUSIKA JARRI;PLAY SOME REAL MUSIC;PASSER DE LA VRAIE MUSIQUE;SPIELE ETWAS ECHTE MUSIK;PON MÚSICA DE VERDAD;METTI DELLA MUSICA VERA;TOQUE UMA MÚSICA DE VERDADE;ПОСТАВЬ КАКУЮ-НИБУДЬ НАСТОЯЩУЮ МУЗЫКУ;ほんものの おんがくを かけた;진정한 노래를 몇 곡 재생한다;播放真正的音乐;播放真正的音樂;
;LEGENDA;LEGEND;LÉGENDE;LEGENDE;LEYENDA;LEGGENDA;LENDA;ЛЕГЕНДА;レジェンド;전설;传奇;傳奇;
;LORTU GAINONTZEKO LORPEN GUZTIAK;GET ALL THE OTHER ACHIEVEMENTS;OBTENIR TOUS LES SUCCÈS;HOL DIR ALLE ANDEREN ERFOLGE;CONSIGUE TODOS LOS DEMÁS LOGROS;COMPLETA TUTTI GLI ALTRI OBIETTIVI;OBTENHA TODAS AS CONQUISTAS;ОТКРОЙ ВСЕ ДОСТИЖЕНИЯ;すべての アチーブメントを かいほうした;모든 도전과제를 달성한다;取得所有成就;取得所有成就;
;LORTU GAINONTZEKO TROFEO GUZTIAK;GET ALL THE OTHER TROPHIES;OBTENIR TOUS LES TROPHÉES;HOL DIR ALLE ANDEREN TROPHÄEN;CONSIGUE TODOS LOS DEMÁS TROFEOS;COMPLETA TUTTI GLI ALTRI TROFEI;OBTENHA TODOS OS TROFÉUS;ОТКРОЙ ВСЕ ПРИЗЫ;すべてのトロフィーを かいほうした;모든 트로피를 달성한다;得到所有奖杯;得到所有獎盃;
;GORDETAKO PARTIDA ZAHARRA EZABATUKO DA.#ZIUR ZAUDE?;THIS WILL DELETE YOUR OLD SAVE FILE.#ARE YOU SURE?;CELA EFFACERA TA SAUVEGARDE.#VEUX-TU VRAIMENT CONTINUER ?;HIERDURCH WIRD DER ALTE#SPIELSTAND GELÖSCHT. BIST DU SICHER?;ESTO BORRARÁ TU ARCHIVO#GUARDADO ANTERIOR. ¿SEGURO?;IL SALVATAGGIO PRECEDENTE#VERRÀ ELIMINATO. CONTINUARE?;O JOGO SALVO ANTERIOR SERÁ APAGADO.#TEM CERTEZA?;ЭТО ПЕРЕЗАПИШЕТ СТАРОЕ#СОХРАНЕНИЕ. ВЫ УВЕРЕНЫ?;ほぞんされたファイルをさくじょします#よろしいですか?;기존 저장 파일을 삭제합니다.#정말로 지우시겠습니까?;此前保存的档将被删除.#确定么?;此前保存的檔將被刪除.#確定麼?;
;BAI;YES;OUI;JA;SÍ;SÌ;SIM;ДА;YES;예;是;是;
;EZ;NO;NON;NEIN;NO;NO!;NÃO;НЕТ;NO;아니오;否;否;
;DESKONEKTATU EGIN DA;HAS DISCONNECTED;S'EST DÉCONNECTÉ;HAT SICH ABGEMELDET;SE HA DESCONECTADO;SI È DISCONNESSO;SE DESCONECTOU;ОТКЛЮЧЕНИЕ;せつぞくが はずれました;연결이 끊어졌습니다;;;
;BIRKONEKTATU;RECONNECT;RECONNECTER;WIEDERVERBINDEN;RECONECTAR;RICONNETTI;RECONECTAR;ПЕРЕПОДКЛЮЧИ;さいせつぞく;다시 접속;重新连接;重新連接;
;BERRABIARAZI;RESTART;REDÉMARRER;NEUSTARTEN;REINICIAR;RIAVVIA;REINICIAR;ЗАНОВО;リスタート;재시작;重新开始;重新開始;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;INGELESA;ENGLISH;FRANÇAIS;DEUTSCH;ESPAÑOL;ITALIANO;PORTUGUÊS(BR);РУССКИЙ;JAPANESE;KOREAN (한국어);简体中文;繁體中文;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;SPEEDRUN;SPEEDRUN;RECORD;TEMPOLAUF;SPEEDRUN;RECORD DI VELOCITÀ;VELOCIDADE;СКОРОСТНОЕ ПРОХОЖДЕНИЕ;スピードラン;스피드런;竞速模式;競速模式;
;PARTIDA BERRIETAN SPEEDRUN#TENPORIZADOREA AKTIBATU;ENABLE SPEEDRUN TIMER ON NEW GAMES;AFFICHE UN CHRONOMÈTRE GLOBAL#POUR LES NOUVELLES PARTIES;TEMPOLAUF-TIMER IN NEUEN SPIELEN;ACTIVAR TEMPORIZADOR DE SPEEDRUN EN PARTIDAS NUEVAS;ATTIVA TIMER RECORD DI VELOCITÀ PER NUOVE PARTITE;ATIVAR CRONÔMETRO DE VELOCIDADE EM NOVAS PARTIDAS;ВКЛЮЧИТЬ ТАЙМЕР СКОРОСТНОГО ПРОХОЖДЕНИЯ ДЛЯ НОВЫХ ИГР;ニューゲームでスピードランタイマーをセットする;이후 새로 시작하는 게임에 스피드런 타이머를 표시한다;新游戏启动竞速计时器;新遊戲啟動競速計時器;
;LASTERBIDEA!;SHORTCUT!;RACCOURCI !;ABKÜRZUNG!;¡ATAJO!;SCORCIATOIA!;ATALHO!;КОРОТКИЙ ПУТЬ!;ショートカット!;지름길!;快捷方式;快捷方式;
;;;;;;;;;;;;;
